artistName,segment,user_id
Matt Maeson,Previously Active Listeners,user_002
Ariana Grande,Moderate listeners,user_002
Matt Sassari,Previously Active Listeners,user_002
Julie Walters,Previously Active Listeners,user_002
MNEK,Previously Active Listeners,user_002
Yo Gotti,Previously Active Listeners,user_002
Far East Movement,Previously Active Listeners,user_002
Miguel,Light listeners,user_002
Maren Morris,Previously Active Listeners,user_002
RANI,Previously Active Listeners,user_002
Megan Moroney,Light listeners,user_002
Josh Groban,Previously Active Listeners,user_002
Bad Bunny,Super Listeners,user_002
Johnny Orlando,Light listeners,user_002
Sierra Ferrell,Previously Active Listeners,user_002
Alexander Stewart,Previously Active Listeners,user_002
GIMS,Previously Active Listeners,user_002
Endor,Light listeners,user_002
Gym Class Heroes,Previously Active Listeners,user_002
